<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 1981010100 to 1981123123</B><hr><pre>Selected parameters:
 1 ID for IMF spacecraft
 2 ID for SW Plasma spacecraft
 3 # of points in IMF averages 
 4 # of points in Plasma averages
 5 Percent of Interpolation
 6 Timeshift
 7 RMS, Timeshift
 8 RMS Min_var
 9 Time btwn observations,sec
10 Field magnitude average, nT
11 BX, nT (GSE, GSM)
12 BY, nT (GSE)
13 BZ, nT (GSE)
14 BY, nT (GSM)
15 BZ, nT (GSM)
16 RMS SD B scalar, nT
17 RMS SD field vector, nT
18 Speed, km/s
19 Vx Velocity,km/s
20 Vy Velocity, km/s
21 Vz Velocity, km/s
22 Proton Density, n/cc
23 Proton Temperature, K
24 Flow pressure, nPa
25 Electric field, mV/m 
26 Plasma beta
27 Alfven mach number
28 S/C, Xgse,Re
29 S/C, Ygse,Re
30 S/c, Zgse,Re
31 BSN location, Xgse,Re
32 BSN location, Ygse,Re
33 BSN location, Zgse,Re
34 AE-index, nT
35 AL-index, nT
36 AU-index, nT
37 SYM/D, nT
38 SYM/H, nT
39 ASY/D, nT
40 ASY/H, nT
41 PCN-index
42 Magnetosonic Mach number

YYYY DOY HR MN  1  2  3   4   5      6      7     8      9      10      11      12      13      14      15      16      17      18      19      20      21     22       23    24     25     26    27      28      29      30      31      32      33    34    35    36    37    38    39    40     41   42 
1981  37 13  5 50 50   4   1 100    -69      0  0.00     59   13.20    3.97    0.05  -12.56    1.84  -12.42    0.16    0.33   527.7  -524.3    53.3    27.6  21.25   90616. 11.83   6.55   1.11   9.2   12.03  -35.24  -15.14    8.09   -1.27   -0.37   375  -140   234    12    -2    47    41   3.33  6.6
1981  37 13  6 50 50   7   1  57    -98     27  0.06     89   12.78    3.87    0.23  -12.16    1.97  -12.00    0.17    0.56   532.0  -529.3    51.9    13.0  24.08   85575. 13.63   6.38   1.31  10.2   12.05  -35.23  -15.14    8.04   -1.25   -0.20   382  -172   209    11    -3    41    44   3.02  7.0
1981  37 13  7 50 99   3 999  67   -112      8  0.02     73   13.23    4.72    0.01  -12.34    1.78  -12.21    0.13    0.34 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.10   -1.24   -0.10   401  -187   213    11    -2    36    43   3.63 99.9
1981  37 13  8 50 99   3 999 100    -95      5  0.01     43   14.58    4.99    0.58  -13.65    2.54  -13.42    0.12    0.74 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.07   -1.23   -0.02   431  -225   205    11    -5    37    41   3.82 99.9
1981  37 13  9 50 50   4   1 100    -75      4  0.01     40   14.14    3.73   -0.26  -13.61    1.71  -13.50    0.09    0.13   538.4  -535.9    51.6    -3.8  18.38   73064. 10.66   7.27   0.77   8.2   12.07  -35.21  -15.16    8.17   -1.24    0.04   420  -222   197    11    -7    36    41   3.85  6.3
1981  37 13 10 50 50   3   1 100    -56      5  0.02     41   14.60    3.98   -0.07  -14.03    1.96  -13.89    0.11    0.31   538.4  -535.9    51.6    -3.8  18.38   73064. 10.66   7.48   0.72   7.9   12.07  -35.21  -15.16    8.18   -1.27    0.02   388  -218   169    12    -7    40    39   3.96  6.2
1981  37 13 11 50 99   3 999 100    -37      5  0.01     40   14.64    4.50    0.57  -13.91    2.59  -13.68    0.09    0.21 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.23   -1.32   -0.04   327  -172   154    11    -6    37    40   3.79 99.9
1981  37 13 12 50 50   4   1 100    -18      4  0.01     41   14.78    3.99    0.50  -14.21    2.57  -13.99    0.07    0.17   542.5  -539.1    60.5     6.6  16.60   75875.  9.77   7.59   0.65   7.5   12.09  -35.21  -15.16    8.23   -1.37   -0.09   226  -118   108    10    -3    36    42   4.02  6.0
1981  37 13 13 50 50   3   1 100     -1      4  0.01     43   14.82    4.39    0.32  -14.14    2.39  -13.94    0.12    0.39   542.5  -539.1    60.5     6.6  16.60   75875.  9.77   7.56   0.64   7.5   12.09  -35.21  -15.16    8.35   -1.34   -0.12   223  -113   109    10    -3    40    41   3.84  6.0
1981  37 13 14 50 50   3   1 100     15      5  0.02     44   14.85    4.43    1.04  -14.13    3.10  -13.82    0.02    0.26   541.0  -538.4    52.8     8.5  14.81   79693.  8.67   7.48   0.58   7.0   12.10  -35.20  -15.17    8.42   -1.29   -0.15   258  -134   123    11     0    42    43   3.92  5.7
1981  37 13 15 50 50   4   1 100     34      4  0.01     41   14.73    4.53    0.74  -14.00    2.79  -13.74    0.04    0.08   543.9  -541.0    54.0    13.3  15.96   69389.  9.44   7.47   0.61   7.4   12.10  -35.20  -15.17    8.34   -1.29   -0.19   295  -149   145    11     1    43    43   4.30  6.0
1981  37 13 16 50 99   4 999  75     51      4  0.01     43   14.71    4.48    0.78  -13.99    2.84  -13.72    0.02    0.13 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.34   -1.31   -0.05   371  -199   171    11     0    42    44   4.46 99.9
1981  37 13 17 50 50   4   1   0     61      3  0.01     49   14.65    4.58    0.47  -13.91    2.53  -13.69    0.15    0.26   543.3  -540.1    57.7   -13.3  15.89   72600.  9.38   7.44   0.62   7.4   12.11  -35.19  -15.18    8.34   -1.34    0.13   477  -276   200    12     0    41    44   4.74  6.0
1981  37 13 18 50 50   3   1   0     85      6  0.02     35   14.39    4.18    0.09  -13.76    2.14  -13.59    0.10    0.28   543.3  -540.1    57.7   -13.3  15.89   72600.  9.38   7.38   0.64   7.5   12.11  -35.19  -15.18    8.40   -1.34    0.21   546  -331   214    11     0    39    46   5.14  6.0
1981  37 13 19 50 99   3 999   0    100      3  0.01     45   14.21    3.97   -0.34  -13.62    1.70  -13.52    0.12    0.39 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.50   -1.33    0.22   597  -396   200    11     0    39    48   5.49 99.9
1981  37 13 20 50 99   4 999   0    111      3  0.01     49   14.62    3.97   -0.78  -14.03    1.33  -13.99    0.11    0.21 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.55   -1.31    0.22   628  -449   178    10     1    37    49   5.84 99.9
1981  37 13 21 50 50   5   1   0    115      3  0.01     55   14.99    4.45   -1.09  -14.26    1.07  -14.26    0.27    0.56   541.9  -539.4    50.0   -14.2  12.84   75875.  7.54   7.73   0.49   6.5   12.15  -35.18  -15.19    8.67   -1.27    0.23   643  -468   175     9    -2    34    48   6.08  5.4
1981  37 13 22 50 50   6   1   0    103      3  0.01     72   15.50    4.71   -1.18  -14.71    1.05  -14.72    0.18    0.49   541.4  -539.8    37.7   -17.0  11.07   86573.  6.49   7.97   0.41   5.8   12.16  -35.17  -15.20    8.86   -1.14    0.26   624  -451   173     9    -5    33    46   5.83  5.0
1981  37 13 23 50 50   5   1   0     94      7  0.02     69   15.52    5.02   -0.31  -14.64    1.91  -14.52    0.14    0.67   542.6  -540.1    51.1    -8.5  11.67   79693.  6.87   7.88   0.42   6.0   12.17  -35.16  -15.21    8.82   -1.24    0.19   638  -453   185     8    -8    30    43   5.56  5.1
1981  37 13 24 50 50   9   3   0     51     15  0.04    103   15.78    4.43   -1.73  -15.01    0.57  -15.10    0.08    0.77   544.5  -541.5    53.5   -16.0  10.21   76368.  6.05   8.22   0.35   5.5   12.18  -35.16  -15.21    8.89   -1.34    0.22   677  -484   193     7   -10    29    39   5.39  4.8
1981  37 13 25 50 50   6   2   0     11      7  0.02     99   16.03    4.70   -0.81  -15.28    1.53  -15.22    0.09    0.71   544.2  -542.4    40.3   -16.1   9.31   74208.  5.51   8.28   0.31   5.2   12.20  -35.15  -15.22    9.10   -1.19    0.26   694  -501   193     6   -10    32    38   5.44  4.6
1981  37 13 26 50 50   5   1   0      0      1  0.00     71   16.39    4.45   -1.95  -15.63    0.47  -15.74    0.08    0.61   544.2  -542.6    37.0   -19.0   8.81   71676.  5.22   8.57   0.27   4.9   12.20  -35.15  -15.22    9.28   -1.14    0.45   738  -537   201     5   -10    39    36   5.52  4.4
1981  37 13 27 50 50   5   1   0     -2      1  0.00     61   16.45    3.67   -2.97  -15.75   -0.52  -16.02    0.02    0.14   542.2  -539.4    35.8   -41.6   7.43   79693.  4.37   8.69   0.24   4.5   12.21  -35.14  -15.23    9.42   -1.15    0.65   757  -536   221     5   -11    41    34   5.80  4.1
1981  37 13 28 50 50   5   2   0     -4      2  0.01     61   16.28    3.99   -1.75  -15.67    0.69  -15.75    0.11    0.40   541.9  -539.2    37.7   -38.3   8.52   76493.  5.00   8.53   0.27   4.9   12.21  -35.14  -15.23    8.99   -1.16    0.58   777  -526   251     5   -12    43    32   6.02  4.4
1981  37 13 29 50 50   5   1   0      1      1  0.00     55   16.07    3.52   -2.44  -15.48   -0.02  -15.67    0.18    0.53   541.1  -538.6    43.3   -28.3  11.74   66688.  6.87   8.48   0.37   5.8   12.22  -35.13  -15.24    8.66   -1.16    0.52   826  -551   275     5   -11    51    31   6.21  5.0
1981  37 13 30 50 99   4 999   0     -1      3  0.01     61   15.91    4.35   -1.35  -15.23    1.03  -15.25    0.04    0.31 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.64   -1.14    0.66   868  -566   302     4   -10    56    31   6.54 99.9
1981  37 13 31 50 50   5   1   0      9      4  0.01     49   16.01    4.48    0.82  -15.32    3.20  -15.01    0.04    0.73   542.3  -539.0    40.5   -44.4  12.26   66243.  7.21   8.14   0.39   5.9   12.24  -35.13  -15.24    8.61   -1.16    0.53   933  -607   325     4   -10    59    32   6.76  5.1
1981  37 13 32 50 50   4   1   0     16      9  0.02     53   16.03    4.71    1.53  -15.23    3.89  -14.80    0.02    0.56   540.6  -538.3    46.2   -17.9  12.55   68937.  7.34   8.00   0.40   6.0   12.25  -35.12  -15.25    8.60   -1.23    0.29  1037  -690   346     4    -8    60    32   6.98  5.1
1981  37 13 33 50 50   5   1   0     20      2  0.01     56   15.98    4.20    2.34  -15.23    4.70  -14.67    0.01    0.44   540.0  -537.4    49.9   -17.9  12.84   67136.  7.49   7.92   0.41   6.1   12.26  -35.11  -15.26    8.55   -1.28    0.28  1133  -797   335     2    -7    73    32   7.11  5.2
1981  37 13 34 50 99   5 999   0     14      1  0.00     65   15.99    4.23    3.29  -15.06    5.62  -14.35    0.02    0.24 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.48   -1.32    0.25  1129  -811   317     3    -7    75    34   7.36 99.9
1981  37 13 35 50 99   6 999   0     16     17  0.04     58   15.87    3.92    3.69  -14.90    6.00  -14.13    0.11    0.69 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.40   -1.36    0.22  1140  -849   290     2    -6    83    37   7.58 99.9
1981  37 13 36 50 50   3   1   0      0      4  0.01     75   15.74    4.46    5.08  -14.20    7.27  -13.21    0.03    0.31   541.7  -538.2    60.4   -12.3  14.95   70758.  8.77   7.16   0.50   6.7   12.28  -35.10  -15.27    8.38   -1.41    0.16  1142  -880   261     2    -5    84    39   7.80  5.6
1981  37 13 37 50 50   3   1   0     29      8  0.02     30   15.54    3.84    4.22  -14.40    6.46  -13.55    0.10    0.69   542.5  -538.4    66.1     5.7  18.73   75875. 11.02   7.35   0.66   7.6   12.29  -35.10  -15.27    8.16   -1.42    0.01  1151  -923   228     1    -7    86    40   7.91  6.0
1981  37 13 38 50 50   5   2   0     44      8  0.02     45   15.35    3.95    5.07  -13.89    7.22  -12.90    0.03    0.81   543.2  -539.4    62.8    -3.8  18.98   77403. 11.20   7.01   0.69   7.7   12.29  -35.10  -15.27    8.08   -1.37    0.10  1116  -898   218     1    -7    88    39   7.96  6.1
1981  37 13 39 50 50   4   1   0     35      0  0.00     69   15.39    4.32    4.71  -13.91    6.88  -12.98    0.01    1.20   544.3  -540.9    57.8   -18.0  19.36   79693. 11.47   7.07   0.71   7.8   12.30  -35.09  -15.28    8.07   -1.31    0.28  1088  -885   203     0    -8    92    40   7.93  6.1
1981  37 13 40 50 99   2 999   0     78      3  0.00     16   15.57    4.05    5.25  -14.02    7.44  -12.99    0.02    0.19 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.08   -1.31    0.28   959  -797   162     0    -8    94    39   8.01 99.9
1981  37 13 41 50 99   7 999   0     82     12  0.03     56   15.53    3.90    6.26  -13.66    8.38  -12.47    0.03    0.44 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.16   -1.32    0.30  1083  -919   163    -1    -9    95    39   8.04 99.9
1981  37 13 42 50 99   7 999   0     40      8  0.02    101   15.57    4.40    7.25  -13.05    9.27  -11.70    0.02    0.50 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.29   -1.34    0.33  1151  -980   170    -1    -8    96    39   7.99 99.9
1981  37 13 43 50 99   6 999   0     26      3  0.01     74   15.66    4.88    7.34  -12.93    9.34  -11.56    0.03    0.44 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.35   -1.35    0.35  1159  -999   159    -2    -8   101    42   7.93 99.9
1981  37 13 44 50 50   7   1   0      9     11  0.03     76   15.91    4.29    8.67  -12.60   10.61  -11.02    0.09    0.54   543.8  -540.2    57.7   -23.7  16.46   70300.  9.74   5.99   0.54   6.9   12.35  -35.07  -15.30    8.45   -1.37    0.36  1174 -1010   164    -3    -9   105    42   8.02  5.7
1981  37 13 45 50 99   5 999   0     -7      7  0.01     75   15.89    3.72    8.80  -12.68   10.76  -11.07    0.03    0.37 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.43   -1.40    0.32  1265 -1077   188    -3    -9   106    44   8.22 99.9
1981  37 13 46 50 50   7   2   0    -15     12  0.03     68   15.84    3.77    9.60  -11.99   11.44  -10.25    0.04    0.76   543.0  -539.3    61.2   -17.1  16.81   73896.  9.91   5.57   0.56   7.0   12.36  -35.06  -15.32    8.50   -1.37    0.27  1201 -1019   182    -3    -9   109    44   8.36  5.8
1981  37 13 47 50 50   5   1   0    -40      5  0.01     85   15.74    3.66   10.70  -10.93   12.36   -9.02    0.03    0.43   546.3  -544.2    44.7   -16.2  17.10   65799. 10.21   4.93   0.56   7.2   12.38  -35.05  -15.32    8.65   -1.23    0.25  1207 -1031   176    -4   -10   108    43   8.53  5.9
1981  37 13 48 50 99   4 999   0    -16      2  0.01     35   15.62    4.03   10.85  -10.45   12.43   -8.51    0.03    0.60 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.75   -1.32    0.24  1262 -1069   193    -4   -11   108    43   8.61 99.9
1981  37 13 49 50 50  10   1   0    -50     23  0.05     93   15.62    2.91   11.51   -9.88   12.99   -7.83    0.08    1.97   548.6  -544.9    62.1   -13.4  14.88   57189.  8.96   4.30   0.47   6.8   12.40  -35.04  -15.33    8.88   -1.46    0.23  1337 -1147   190    -4   -14   107    42   8.46  5.7
1981  37 13 50 50 50  10   3   0   -138     39  0.08    148   15.38    2.39   12.45   -8.66   13.72   -6.46    0.17    0.69   551.7  -547.8    62.4   -14.2  15.71   58514.  9.56   3.56   0.52   7.1   12.42  -35.03  -15.34    9.02   -1.55    0.09  1351 -1169   182    -4   -16   105    39   8.34  5.9
1981  37 13 51 50 50  14   4   0   -208     65  0.12    130   15.26    2.61   12.51   -8.32   13.73   -6.11    0.07    0.42   545.7  -541.6    65.7    -7.3  14.50   70610.  8.64   3.33   0.52   6.8   12.44  -35.02  -15.35    9.17   -1.60    0.15  1359 -1198   161    -6   -18   106    40   8.34  5.7
1981  37 13 52 50 50  11   1   0   -260    111  0.19    111   14.93    2.54   12.56   -7.35   13.62   -5.14    0.22    1.51   542.4  -538.6    64.2     5.7  14.08   68937.  8.28   2.79   0.52   6.8   12.45  -35.01  -15.36    9.44   -1.49    0.19  1388 -1242   146    -6   -22   103    37   8.18  5.7
1981  37 13 53 50 50   5   1   0   -324      2  0.01    124   15.05    5.88    8.09  -11.20    9.86   -9.68    0.10    0.61   527.9  -525.6    38.6   -30.4  12.40  105945.  6.91   5.11   0.53   6.2   12.47  -35.00  -15.37    9.21   -1.21    0.49  1365 -1232   133    -5   -23    97    34   7.96  5.1
1981  37 13 54 50 50   3   1  33   -326      9  0.01     61   14.83    5.51    8.75  -10.62   10.42   -8.99    0.36    0.42   531.8  -529.8    40.8   -22.3  12.48   92668.  7.06   4.78   0.52   6.3   12.48  -35.00  -15.37    9.25   -1.22    0.42  1456 -1321   135    -6   -23    96    35   7.94  5.3
1981  37 13 55 50 50   2   1 100   -279     11  0.01     13   14.32    5.99    7.61  -10.50    9.28   -9.06    0.04    0.47   531.8  -529.8    40.8   -22.3  12.48   92668.  7.06   4.82   0.56   6.6   12.48  -35.00  -15.37    9.00   -1.16    0.39  1551 -1383   168    -6   -23    95    34   8.02  5.4
1981  37 13 56 50 99   1 999 100   -246      0  0.00     26   14.13    6.76    5.43  -11.14    7.25  -10.05    0.00    0.00 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.73   -1.09    0.40  1533 -1388   145    -4   -25    92    32   7.60 99.9
1981  37 13 57 50 50   2   1 100   -208     11  0.01     22   14.02    6.98    5.99  -10.58    7.71   -9.40    0.05    0.11   536.0  -534.3    34.6   -25.2  18.30   73996. 10.52   5.04   0.78   8.2   12.49  -35.00  -15.37    8.62   -1.05    0.41  1468 -1309   159    -3   -24    86    32   8.00  6.3
1981  37 13 58 50 99   2 999 100   -171      6  0.01     22   14.03    7.13    6.06  -10.44    7.76   -9.25    0.02    0.06 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.58   -1.04    0.42  1530 -1343   187    -5   -24    91    35   8.08 99.9
1981  37 13 59 50 50   2   1 100   -138      9  0.01     27   13.99    7.13    6.28  -10.26    7.95   -9.03    0.06    0.15   537.3  -535.4    35.6   -27.2  19.29   76821. 11.14   4.85   0.84   8.4   12.50  -34.99  -15.38    8.56   -1.04    0.43  1624 -1399   225    -3   -25    86    34   7.97  6.4
1981  37 14  0 50 50   2   1 100   -102      9  0.02     24   13.90    6.31    7.53   -9.82    9.11   -8.37    0.05    0.19   537.3  -535.4    35.6   -27.2  19.29   76821. 11.14   4.50   0.85   8.5   12.50  -34.99  -15.38    8.61   -1.05    0.44  1511 -1327   184    -3   -26    84    33   7.92  6.4
1981  37 14  1 50 99   2 999 100    -67      9  0.02     24   14.04    6.18    8.22   -9.53    9.75   -7.96    0.02    0.10 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.66   -1.04    0.44  1468 -1279   189    -3   -27    86    33   7.91 99.9
1981  37 14  2 50 99   3 999 100    -36      7  0.01     29   14.06    5.89    8.59   -9.41   10.10   -7.77    0.03    0.17 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.68   -1.03    0.44  1433 -1223   210    -3   -28    89    34   7.92 99.9
1981  37 14  3 50 99   3 999 100     -7      7  0.01     30   13.99    5.90    8.28   -9.61    9.83   -8.02    0.01    0.05 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.66   -1.02    0.44  1427 -1172   255    -3   -27    92    35   8.24 99.9
1981  37 14  4 50 99   2 999 100     20      8  0.02     33   14.06    5.82    8.44   -9.61    9.99   -7.98    0.01    0.24 99999.9 99999.9 99999.9 99999.9 999.99 9999999. 99.99 999.99 999.99 999.9 9999.99 9999.99 9999.99    8.67   -1.01    0.44  1533 -1245   288    -4   -27    98    36   8.61 99.9
1981  37 14  5 50 50   2   1 100     52      8  0.01     28   14.03    5.65    8.12   -9.93    9.74   -8.35    0.00    0.07   528.8  -527.2    30.4   -26.8  19.29   76347. 10.79   4.42   0.83   8.3   12.52  -34.98  -15.39    8.65   -1.00    0.44  1573 -1286   287    -5   -27   107    36   8.96  6.3
1981  37 14  6 50 50   3   1 100     81      7  0.02     30   13.96    5.71    8.49   -9.49   10.03   -7.84    0.03    0.08   528.8  -527.2    30.4   -26.8  19.29   76347. 10.79   4.15   0.84   8.3   12.52  -34.98  -15.39    8.70   -0.98    0.53  1487 -1217   270    -6   -27   112    35   9.10  6.3
1981  37 14  7 50 50   5   1  40     85     24  0.05     55   13.83    6.42    9.00   -8.22   10.31   -6.50    0.10    1.00   531.0  -527.9    25.8   -50.9  19.08   76347. 10.76   3.45   0.85   8.4   12.53  -34.97  -15.40    8.91   -0.93    0.79  1382 -1154   228    -7   -26   118    37   9.04  6.4
1981  37 14  8 50 50   2   1   0    127      4  0.01     18   13.91    6.74    9.17   -7.87   10.42   -6.11    0.13    0.24   531.0  -527.9    25.8   -50.9  19.08   76347. 10.76   3.24   0.84   8.3   12.53  -34.97  -15.40    8.93   -0.93    0.84  1386 -1157   229    -8   -25   126    39   9.08  6.3
1981  37 14  9 50 50   5   1   0    135     21  0.05     51   14.22    6.67    9.36   -8.38   10.70   -6.58    0.04    0.17   533.1  -530.6    22.2   -46.5  15.96   74463.  9.07   3.51   0.67   7.5   12.54  -34.97  -15.40    9.12   -0.89    0.62  1363 -1100   263    -8   -24   131    40   9.14  6.0
1981  37 14 10 50 50   6   2   0    134      8  0.02     60   13.99    6.41    9.86   -7.56   11.05   -5.67    0.11    0.50   533.4  -532.5    22.4   -22.3  16.01   76420.  9.11   3.02   0.70   7.6   12.55  -34.97  -15.40    9.18   -0.91    0.39  1442 -1145   296    -8   -22   137    40   9.13  6.0
1981  37 14 11 50 50   4   1   0    123      7  0.02     71   13.73    6.45   10.13   -6.64   11.16   -4.71    0.12    0.44   530.7  -529.7    23.1   -22.2  17.17   81633.  9.67   2.50   0.80   8.0   12.56  -34.96  -15.41    9.17   -0.96    0.39  1370 -1107   263    -8   -21   137    41   9.23  6.2
1981  37 14 12 50 50   4   1   0    128      0  0.00     54   13.45    5.87   10.90   -5.23   11.66   -3.18    0.04    0.47   529.7  -528.3    30.5   -23.1  19.15   91127. 10.75   1.68   0.97   8.6   12.56  -34.96  -15.41    9.21   -1.00    0.46  1317 -1064   253    -7   -19   140    42   9.32  6.4
